Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
World,153343066,546946.0,3212757.0,6612.0,131279364,550848.0,18850945,111900.0,412.2,,,,2021-05-02 17:42:00+00:00
USA,33155901,9886.0,590812.0,105.0,25780179,2252.0,6784910,9542.0,1776.0,447950283.0,1346746.0,332616743.0,2021-05-02 17:42:00+00:00
India,19900371,350715.0,218595.0,3072.0,16261820,280048.0,3419956,8944.0,157.0,290142339.0,208545.0,1391271798.0,2021-05-02 17:42:00+00:00
Brazil,14725975,,406565.0,,13242665,,1076745,8318.0,1901.0,43818216.0,204935.0,213815388.0,2021-05-02 17:42:00+00:00
France,5642359,,104706.0,,4590376,,947277,5581.0,1601.0,76301950.0,1166808.0,65393762.0,2021-05-02 17:42:00+00:00
Turkey,4875388,25980.0,40844.0,340.0,4480381,75182.0,354163,3532.0,480.0,47744338.0,561088.0,85092490.0,2021-05-02 17:42:00+00:00
Russia,4823255,8697.0,110862.0,342.0,4443922,7339.0,268471,2300.0,759.0,129800000.0,889123.0,145986588.0,2021-05-02 17:42:00+00:00
UK,4420201,1671.0,127538.0,14.0,4221582,3410.0,71081,185.0,1871.0,156302824.0,2292415.0,68182618.0,2021-05-02 17:42:00+00:00
Italy,4044762,9148.0,121177.0,144.0,3492679,8637.0,430906,2524.0,2007.0,59114826.0,978921.0,60387724.0,2021-05-02 17:42:00+00:00
Spain,3524077,,78216.0,,3206273,,239588,2308.0,1672.0,46199597.0,987807.0,46769864.0,2021-05-02 17:42:00+00:00
Germany,3420083,7710.0,83790.0,88.0,3024600,12500.0,311693,5049.0,997.0,55490413.0,660546.0,84006917.0,2021-05-02 17:42:00+00:00
Argentina,2993865,,64096.0,,2655359,,274410,5370.0,1407.0,11209847.0,246152.0,45540268.0,2021-05-02 17:42:00+00:00
Colombia,2877746,,74215.0,,2686399,,117132,6006.0,1446.0,14888382.0,290034.0,51333154.0,2021-05-02 17:42:00+00:00
Poland,2803233,4612.0,68068.0,144.0,2520968,10110.0,214197,2652.0,1800.0,14428003.0,381571.0,37812066.0,2021-05-02 17:42:00+00:00
Iran,2534855,18698.0,72484.0,394.0,1988165,17101.0,474206,5443.0,854.0,16101399.0,189685.0,84884809.0,2021-05-02 17:42:00+00:00
Mexico,2347780,3025.0,217168.0,261.0,1867191,2277.0,263421,4798.0,1670.0,6650124.0,51132.0,130057448.0,2021-05-02 17:42:00+00:00
Ukraine,2083180,5094.0,44596.0,160.0,1676265,5784.0,362319,177.0,1025.0,9477843.0,217809.0,43514481.0,2021-05-02 17:42:00+00:00
Peru,1804915,,61789.0,,1688091,,55035,2667.0,1853.0,11225924.0,336582.0,33352726.0,2021-05-02 17:42:00+00:00
Indonesia,1677274,4394.0,45796.0,144.0,1530718,3740.0,100760,,166.0,14703659.0,53289.0,275924964.0,2021-05-02 17:42:00+00:00
Czechia,1634114,1169.0,29343.0,12.0,1555215,45.0,49556,497.0,2736.0,18422238.0,1717607.0,10725523.0,2021-05-02 17:42:00+00:00
South Africa,1582842,,54406.0,,1506732,,21704,546.0,908.0,10682827.0,178258.0,59929069.0,2021-05-02 17:42:00+00:00
Netherlands,1507615,5508.0,17172.0,3.0,1270527,7232.0,219916,810.0,1000.0,12274847.0,715049.0,17166437.0,2021-05-02 17:42:00+00:00
Canada,1231914,4879.0,24293.0,32.0,1124356,5077.0,83265,1422.0,639.0,31629802.0,831989.0,38017069.0,2021-05-02 17:42:00+00:00
