Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,164267068,3404185.0,144185709,16677174,101708.0,436.7,,,,1104941,21180.0,1619247,-535486,2021-05-18 02:08:00+00:00
USA,33747439,600533.0,27202309,5944597,7790.0,1805.0,467222796.0,1404331.0,332701437.0,51523,670.0,103689,-52836,2021-05-18 02:08:00+00:00
India,25227970,278751.0,21590003,3359216,8944.0,200.0,316423658.0,227338.0,1391864443.0,544905,8432.0,800965,-264492,2021-05-18 02:08:00+00:00
Brazil,15661106,436862.0,14152433,1071811,8318.0,2043.0,47073060.0,220090.0,213881340.0,70493,2010.0,90037,-21554,2021-05-18 02:08:00+00:00
France,5881137,107812.0,5152370,620955,4186.0,1649.0,81694063.0,1249144.0,65400058.0,17298,277.0,71914,-54893,2021-05-18 02:08:00+00:00
Turkey,5127548,44983.0,4961120,121445,2326.0,528.0,51076732.0,599970.0,85132141.0,20686,446.0,28282,-8042,2021-05-18 02:08:00+00:00
Russia,4949573,116211.0,4563254,270108,2300.0,796.0,133800000.0,916505.0,145989315.0,17882,731.0,15754,1397,2021-05-18 02:08:00+00:00
UK,4452756,127684.0,4279267,45805,124.0,1872.0,170156171.0,2495025.0,68198176.0,3905,9.0,3765,131,2021-05-18 02:08:00+00:00
Italy,4162576,124296.0,3715389,322891,1754.0,2058.0,63021591.0,1043683.0,60383853.0,9202,233.0,18908,-9939,2021-05-18 02:08:00+00:00
Spain,3615860,79432.0,3333587,202841,1836.0,1698.0,48928535.0,1046138.0,46770653.0,11061,93.0,36247,-25279,2021-05-18 02:08:00+00:00
Germany,3608292,86870.0,3300700,220722,4123.0,1034.0,58093759.0,691439.0,84018598.0,12420,201.0,25200,-12981,2021-05-18 02:08:00+00:00
Argentina,3335965,71027.0,2973267,291671,5690.0,1559.0,12490822.0,274172.0,45558380.0,45030,774.0,39321,4935,2021-05-18 02:08:00+00:00
Colombia,3131410,81809.0,2931280,118321,6582.0,1593.0,15957624.0,310720.0,51356849.0,28077,1029.0,28634,-1586,2021-05-18 02:08:00+00:00
Poland,2855190,71675.0,2605703,177812,1572.0,1896.0,15184082.0,401586.0,37810261.0,3279,66.0,10068,-6855,2021-05-18 02:08:00+00:00
Iran,2765485,77222.0,2242023,446240,5264.0,909.0,18151487.0,213718.0,84931806.0,25610,589.0,31172,-6151,2021-05-18 02:08:00+00:00
Mexico,2382745,220489.0,1903494,258762,4798.0,1695.0,6856267.0,52693.0,130116629.0,4750,330.0,5907,-1487,2021-05-18 02:08:00+00:00
Ukraine,2156000,48184.0,1864593,243223,177.0,1108.0,9841788.0,226232.0,43503055.0,5756,242.0,14790,-9276,2021-05-18 02:08:00+00:00
Peru,1893334,66471.0,1720665,106198,2665.0,1992.0,12118928.0,363138.0,33372810.0,14285,863.0,0,13422,2021-05-18 02:08:00+00:00
Indonesia,1744045,48305.0,1606611,89129,,175.0,15573690.0,56416.0,276051328.0,7375,338.0,9544,-2507,2021-05-18 02:08:00+00:00
Czechia,1653099,29913.0,1596931,26255,250.0,2789.0,21389353.0,1994087.0,10726389.0,861,27.0,4712,-3878,2021-05-18 02:08:00+00:00
South Africa,1615485,55260.0,1526638,33587,546.0,922.0,11134553.0,185694.0,59961755.0,4342,77.0,3395,870,2021-05-18 02:08:00+00:00
Netherlands,1600993,17456.0,1377872,205665,673.0,1017.0,13524699.0,787781.0,17168090.0,7265,20.0,17150,-9905,2021-05-18 02:08:00+00:00
Canada,1334108,24983.0,1241500,67625,1344.0,657.0,33592273.0,883275.0,38031520.0,10427,75.0,14630,-4278,2021-05-18 02:08:00+00:00
