StateName,TotalConfirmed,TotalRecovered,TotalDeaths,StateCode,UpdatedOn
Andaman and Nicobar,6046,5773,68,35,2021-05-02 08:00:00-05:30
Andhra Pradesh,1121102,982297,8053,28,2021-05-02 08:00:00-05:30
Arunachal Pradesh,18636,17190,59,12,2021-05-02 08:00:00-05:30
Assam,256576,228872,1330,18,2021-05-02 08:00:00-05:30
Bihar,484106,373261,2642,10,2021-05-02 08:00:00-05:30
Chandigarh,43446,35735,489,4,2021-05-02 08:00:00-05:30
Chhattisgarh,744602,614693,8810,22,2021-05-02 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,7712,5841,4,26,2021-05-02 08:00:00-05:30
Delhi,1174552,1061246,16559,7,2021-05-02 08:00:00-05:30
Goa,93355,68249,1222,30,2021-05-02 08:00:00-05:30
Gujarat,581624,429130,7355,24,2021-05-02 08:00:00-05:30
Haryana,501566,394709,4341,6,2021-05-02 08:00:00-05:30
Himachal Pradesh,102038,80585,1525,2,2021-05-02 08:00:00-05:30
Jammu and Kashmir,179915,147242,2330,1,2021-05-02 08:00:00-05:30
Jharkhand,239734,178468,2829,20,2021-05-02 08:00:00-05:30
Karnataka,1564132,1143250,15794,29,2021-05-02 08:00:00-05:30
Kerala,1606819,1277294,5356,32,2021-05-02 08:00:00-05:30
Ladakh,14086,12542,144,37,2021-05-02 08:00:00-05:30
Lakshadweep,2923,1481,4,31,2021-05-02 08:00:00-05:30
Maharashtra,4665754,3930302,69615,27,2021-05-02 08:00:00-05:30
Manipur,31905,29843,410,14,2021-05-02 08:00:00-05:30
Meghalaya,17108,15275,174,17,2021-05-02 08:00:00-05:30
Mizoram,6299,4985,15,15,2021-05-02 08:00:00-05:30
Madhya Pradesh,575706,481477,5718,23,2021-05-02 08:00:00-05:30
Nagaland,14134,12674,107,13,2021-05-02 08:00:00-05:30
Odisha,454607,391048,2054,21,2021-05-02 08:00:00-05:30
Puducherry,60001,48921,817,34,2021-05-02 08:00:00-05:30
Punjab,377990,310601,9160,3,2021-05-02 08:00:00-05:30
Rajasthan,615653,428953,4399,8,2021-05-02 08:00:00-05:30
Sikkim,8211,6416,148,11,2021-05-02 08:00:00-05:30
Tamil Nadu,1186344,1054746,14193,33,2021-05-02 08:00:00-05:30
Telengana,450790,367727,2368,36,2021-05-02 08:00:00-05:30
Tripura,35589,33720,398,16,2021-05-02 08:00:00-05:30
Uttar Pradesh,1282504,967797,12874,9,2021-05-02 08:00:00-05:30
Uttarakhand,186014,132156,2731,5,2021-05-02 08:00:00-05:30
West Bengal,845878,717772,11447,19,2021-05-02 08:00:00-05:30
