StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6367,6088,76,203,56,4,58,-6,35,2021-05-10 08:00:00-05:30
Andhra Pradesh,1287603,1088264,8707,190632,42229,188,38104,3937,28,2021-05-10 08:00:00-05:30
Arunachal Pradesh,20165,18172,60,1933,363,0,323,40,12,2021-05-10 08:00:00-05:30
Assam,292368,253340,1676,37352,9055,98,7098,1859,18,2021-05-10 08:00:00-05:30
Bihar,591476,477389,3282,110805,24207,143,28326,-4262,10,2021-05-10 08:00:00-05:30
Chandigarh,50207,41128,568,8511,1765,19,1740,6,4,2021-05-10 08:00:00-05:30
Chhattisgarh,851476,714359,10570,126547,21359,412,25441,-4494,22,2021-05-10 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,8847,7523,4,1320,251,0,388,-137,26,2021-05-10 08:00:00-05:30
Delhi,1323567,1217991,19344,86232,30700,605,34898,-4803,7,2021-05-10 08:00:00-05:30
Goa,118846,85292,1679,31875,6384,122,6103,159,30,2021-05-10 08:00:00-05:30
Gujarat,681012,533004,8394,139614,22976,240,29507,-6771,24,2021-05-10 08:00:00-05:30
Haryana,615897,493425,5605,116867,28215,306,27005,904,6,2021-05-10 08:00:00-05:30
Himachal Pradesh,131423,97069,1885,32469,8517,92,5469,2956,2,2021-05-10 08:00:00-05:30
Jammu and Kashmir,216932,164958,2726,49248,9978,114,4923,4941,1,2021-05-10 08:00:00-05:30
Jharkhand,286343,223684,3853,58806,10281,238,12414,-2371,20,2021-05-10 08:00:00-05:30
Karnataka,1934378,1351097,18776,564505,95493,972,66677,27844,29,2021-05-10 08:00:00-05:30
Kerala,1902628,1472951,5814,423863,77772,132,56774,20866,32,2021-05-10 08:00:00-05:30
Ladakh,15317,13719,155,1443,294,3,248,43,37,2021-05-10 08:00:00-05:30
Lakshadweep,3881,2856,9,1016,252,0,363,-111,31,2021-05-10 08:00:00-05:30
Maharashtra,5101737,4407818,75849,618070,104979,1436,142492,-38949,27,2021-05-10 08:00:00-05:30
Manipur,35354,30598,476,4280,1021,27,220,774,14,2021-05-10 08:00:00-05:30
Meghalaya,19720,16593,228,2899,793,29,331,433,17,2021-05-10 08:00:00-05:30
Mizoram,7623,5755,21,1847,241,4,296,-59,15,2021-05-10 08:00:00-05:30
Madhya Pradesh,671763,556430,6420,108913,22649,176,8983,13490,23,2021-05-10 08:00:00-05:30
Nagaland,16150,13201,140,2809,570,18,176,376,13,2021-05-10 08:00:00-05:30
Odisha,534842,447863,2180,84799,22442,40,16205,6197,21,2021-05-10 08:00:00-05:30
Puducherry,71709,56710,965,14034,3336,45,2335,956,34,2021-05-10 08:00:00-05:30
Punjab,442125,357276,10506,74343,17478,362,12497,4619,3,2021-05-10 08:00:00-05:30
Rajasthan,756707,550853,5665,200189,35908,319,34547,1042,8,2021-05-10 08:00:00-05:30
Sikkim,9878,7074,167,2637,427,7,181,239,11,2021-05-10 08:00:00-05:30
Tamil Nadu,1380259,1220064,15648,144547,56294,477,46625,9192,33,2021-05-10 08:00:00-05:30
Telengana,497361,428865,2739,65757,10162,73,15640,-5551,36,2021-05-10 08:00:00-05:30
Tripura,37692,34532,410,2750,484,5,262,217,16,2021-05-10 08:00:00-05:30
Uttar Pradesh,1503490,1254045,15464,233981,49811,591,69357,-20137,9,2021-05-10 08:00:00-05:30
Uttarakhand,244273,166431,3728,74114,14280,298,7559,6423,5,2021-05-10 08:00:00-05:30
West Bengal,993159,854805,12327,126027,38877,251,36697,1929,19,2021-05-10 08:00:00-05:30
